OGNTsort	Español
001166	el
001167	Jesús
001168	dijo
001169	hacia
001170	él
001171	Deja completamente
001172	ahora mismo
001173	así
001174	porque
001175	estando siendo apropiado
001176	está siendo
001177	a nosotros
001178	llenar a plenitud
001179	toda
001180	justicia
001181	Entonces
001182	está dejando completamente
001183	a él
001184	Habiendo sido sumergido
001185	pero
001186	el
001187	Jesús
001188	inmediatamente
001189	subió
001190	desde
001191	el
001192	agua
001193	y
001194	mira
001195	fueron abiertos
001196	a él
001197	los
001198	cielos
001199	y
001200	vio
001201	el
001202	espíritu
001203	de el
001204	Dios
001205	estando descendiendo
001206	como
001207	paloma
001208	y
001209	estando viniendo
001210	sobre
001211	él
001212	Y
001213	mira
001214	voz
001215	procedente de
001216	los
001217	cielos
001218	estando diciendo
001219	Este
001220	está siendo
001221	el
001222	Hijo
001223	mío
001224	el
001225	amado
001226	en
001227	quien
001228	pensé bien de
001229	Entonces
001230	el
001231	Jesús
001232	fue conducido hacia arriba
001233	hacia dentro
001234	el
001235	desierto
001236	bajo
001237	el
001238	espíritu
001239	ser puesto a prueba
001240	por
001241	el
001242	Calumniador
001243	Y
001244	habiendo ayunado
001245	días
001246	cuarenta
001247	y
001248	noches
001249	cuarenta
001250	posteriormente
001251	tuvo hambre
001252	Y
001253	habiendo venido hacia
001254	el
001255	Estando Poniendo a Prueba
001256	dijo
001257	a él
001258	Si
001259	Hijo
001260	estás siendo
001261	de el
001262	Dios
001263	di
001264	para que
001265	las
001266	piedras
001267	estas
001268	panes
001269	lleguen a ser
001270	El
001271	pero
001272	habiendo respondido
001273	dijo
001274	Ha sido escrito
001275	No
001276	sobre
001277	pan
001278	solo
001279	vivirá
001280	el
001281	hombre
001282	sino
001283	sobre
001284	toda
001285	declaración
001286	estando yendo en camino hacia fuera
001287	a través de
001288	boca
001289	de Dios
001290	Entonces
001291	está tomando consigo
001292	a él
001293	el
001294	Calumniador
001295	hacia dentro
001296	la
001297	santa
001298	ciudad
001299	y
001300	puso de pie
001301	a él
001302	sobre
001303	el
001304	alita
001305	de el
001306	templo
001307	Y
001308	está diciendo
001309	a él
001310	Si
001311	Hijo
001312	estás siendo
001313	de el
001314	Dios
001315	arroja
001316	a ti mismo
001317	hacia abajo
001318	ha sido escrito
001319	porque
001320	que
001321	A los
001322	mensajeros
001323	de él
001324	mandará
001325	acerca de
001326	ti
001327	y
001328	sobre
001329	manos
001330	alzarán
001331	a ti
001332	no alguna vez
001333	golpees contra
001334	hacia
001335	piedra
001336	el
001337	pie
001338	de ti
001339	Estaba diciendo
001340	a él
001341	el
001342	Jesús
001343	Otra vez
001344	ha sido escrito
001345	No
001346	pondrás a prueba
001347	a Señor
001348	el
001349	Dios
001350	de ti
001351	Otra vez
001352	está tomando consigo
001353	a él
001354	el
001355	Calumniador
001356	hacia dentro
001357	montaña
001358	alta
001359	sumamente
001360	y
001361	está mostrando
001362	a él
001363	todos
001364	los
001365	reinos
001366	de el
001367	mundo
001368	y
001369	el
001370	esplendor
001371	de ellos
001372	Y
001373	dijo
001374	a él
001375	Estos
001376	a ti
001377	todos
001378	daré
001379	si alguna vez
001380	habiendo caído
001381	des (un) acto de adoración
001382	a mí
001383	Entonces
001384	está diciendo
001385	a él
001386	el
001387	Jesús
001388	Estés yendo
001389	Adversario
001390	ha sido escrito
001391	porque
001392	A Señor
001393	el
001394	Dios
001395	tuyo
001396	adorarás
001397	y
001398	a él
001399	solo
001400	darás servicio sagrado
001401	Entonces
001402	está dejando completamente
001403	a él
001404	el
001405	Calumniador
001406	y
001407	mira
001408	mensajeros
001409	vinieron hacia
001410	y
001411	estaban sirviendo
001412	a él
001413	Habiendo oído
001414	pero
001415	que
001416	Juan
001417	fue entregado
001418	(se) retiró
001419	hacia dentro
001420	a la
001421	Galilea
001422	Y
001423	habiendo dejado atrás
001424	a la
001425	Nazaret
001426	habiendo venido
001427	habitó
001428	hacia dentro
001429	Capernaum
001430	la
001431	al lado de mar
001432	en
001433	territorios
001434	de Zabulón
001435	y
001436	Neftalí
001437	para que
001438	sea llenado a plenitud
001439	lo
001440	habiendo sido hablado
001441	a través de
001442	Isaías
001443	el
001444	vocero
001445	estando diciendo
001446	Tierra
001447	de Zabulón
001448	y
001449	tierra
001450	de Neftalí
001451	camino
001452	de mar
001453	al otro lado de
001454	el
001455	Jordán
001456	Galilea
001457	de las
001458	naciones
001459	El
001460	pueblo
001461	el
001462	estando sentado
001463	en
001464	oscuridad
001465	luz
001466	vio
001467	grande
001468	y
001469	a los
001470	estando sentados
001471	en
001472	región
001473	y
001474	sombra
001475	de muerte
001476	luz
001477	(se) levantó
001478	para ellos
001479	Desde
001480	entonces
001481	comenzó
001482	el
001483	Jesús
001484	estar predicando
001485	y
001486	estar diciendo
001487	Estén cambiando de mente
001488	(se) ha acercado
001489	porque
001490	el
001491	reino
001492	de los
001493	cielos
001494	Estando caminando alrededor
001495	pero
001496	al lado de
001497	el
001498	mar
001499	de la
001500	Galilea
001501	vio
001502	dos
001503	hermanos
001504	a Simón
001505	el
001506	estando siendo dicho
001507	Pedro
001508	y
001509	a Andrés
001510	el
001511	hermano
001512	de él
001513	estando arrojando
001514	red de pesca arrojadiza
001515	hacia dentro
001516	el
001517	mar
001518	estaban siendo
001519	porque
001520	pescadores
001521	Y
001522	está diciendo
001523	a ellos
001524	Estén viniendo acá
001525	detrás de
001526	mí
001527	y
001528	haré
001529	a ustedes
001530	pescadores
001531	de hombres
001532	Los
001533	pero
