OGNTsort	extendedStrNo	RMAC	SpanishDescription
105664	G4137	V-PPM-2P	Verbo, Presente, Pasivo, IMperativo, (2) segunda, Plural
105665	G1722	PREP	PREPosición
105666	G4151	N-DSN	SustaNtivo, Dativo, Singular, Neutro
105667	G2980	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
105668	G1438	F-2DPM	pronombre reFlexivo, (2) segunda, Dativo, Plural, Masculino
105669	G1722	PREP	PREPosición
105670	G5568	N-DPM	SustaNtivo, Dativo, Plural, Masculino
105671	G2532	CONJ	CONJunción o partícula cunjuntiva
105672	G5215	N-DPM	SustaNtivo, Dativo, Plural, Masculino
105673	G2532	CONJ	CONJunción o partícula cunjuntiva
105674	G5603	N-DPF	SustaNtivo, Dativo, Plural, Femenino
105675	G4152	A-DPF	Adjetivo, Dativo, Plural, Femenino
105676	G103	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
105677	G2532	CONJ	CONJunción o partícula cunjuntiva
105678	G5567	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
105679	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
105680	G2588	N-DSF	SustaNtivo, Dativo, Singular, Femenino
105681	G4771	P-2GP	pronombre Personal, (2) segunda, Genitivo, Plural
105682	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
105683	G2962	N-DSM	SustaNtivo, Dativo, Singular, Masculino
105684	G2168	V-PAP-NPM	Verbo, Presente, Activa, Participio, Nominativo, Plural, Masculino
105685	G3842	ADV	ADVerbio o adverbio y partícula combinados
105686	G5228	PREP	PREPosición
105687	G3956	A-GPN	Adjetivo, Genitivo, Plural, Neutro
105688	G1722	PREP	PREPosición
105689	G3686	N-DSN	SustaNtivo, Dativo, Singular, Neutro
105690	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
105691	G2962	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
105692	G1473	P-1GP	pronombre Personal, (1) primera, Genitivo, Plural
105693	G2424	N-GSM-P	SustaNtivo, Genitivo, Singular, Masculino, Persona
105694	G5547	N-GSM-T	SustaNtivo, Genitivo, Singular, Masculino, Título
