OGNTsort	extendedStrNo	RMAC	SpanishDescription
037474	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037475	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
037476	G1140	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
037477	G2532	CONJ	CONJunción o partícula cunjuntiva
037478	G4952	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
037479	G2008	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
037480	G1161	CONJ	CONJunción o partícula cunjuntiva
037481	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037482	G2424	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037483	G3588	T-DSN	(T) artículo determinado, Dativo, Singular, Neutro
037484	G4151	N-DSN	SustaNtivo, Dativo, Singular, Neutro
037485	G3588	T-DSN	(T) artículo determinado, Dativo, Singular, Neutro
037486	G169	A-DSN	Adjetivo, Dativo, Singular, Neutro
037487	G2532	CONJ	CONJunción o partícula cunjuntiva
037488	G2390	V-ADI-3S	Verbo, Aoristo, Deponente medio, Indicativo, (3) tercera, Singular
037489	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
037490	G3816	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
037491	G2532	CONJ	CONJunción o partícula cunjuntiva
037492	G591	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037493	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037494	G3588	T-DSM	(T) artículo determinado, Dativo, Singular, Masculino
037495	G3962	N-DSM	SustaNtivo, Dativo, Singular, Masculino
037496	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
037497	G1605	V-IPI-3P	Verbo, Imperfecto, Pasivo, Indicativo, (3) tercera, Plural
037498	G1161	CONJ	CONJunción o partícula cunjuntiva
037499	G3956	A-NPM	Adjetivo, Nominativo, Plural, Masculino
037500	G1909	PREP	PREPosición
037501	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
037502	G3168	N-DSF	SustaNtivo, Dativo, Singular, Femenino
037503	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037504	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037505	G3956	A-GPM	Adjetivo, Genitivo, Plural, Masculino
037506	G1161	CONJ	CONJunción o partícula cunjuntiva
037507	G2296	V-PAP-GPM	Verbo, Presente, Activa, Participio, Genitivo, Plural, Masculino
037508	G1909	PREP	PREPosición
037509	G3956	A-DPN	Adjetivo, Dativo, Plural, Neutro
037510	G3739	R-DPN	pronombre Relativo, Dativo, Plural, Neutro
037511	G4160	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
037512	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037513	G4314	PREP	PREPosición
037514	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
037515	G3101	N-APM	SustaNtivo, Acusativo, Plural, Masculino
037516	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
037517	G5087	V-2AMM-2P	Verbo, (2A) Aoristo segundo, Media, IMperativo, (2) segunda, Plural
037518	G4771	P-2NP	pronombre Personal, (2) segunda, Nominativo, Plural
037519	G1519	PREP	PREPosición
037520	G3588	T-APN	(T) artículo determinado, Acusativo, Plural, Neutro
037521	G3775	N-APN	SustaNtivo, Acusativo, Plural, Neutro
037522	G4771	P-2GP	pronombre Personal, (2) segunda, Genitivo, Plural
037523	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
037524	G3056	N-APM	SustaNtivo, Acusativo, Plural, Masculino
037525	G3778	D-APM	pronombre Demostrativo, Acusativo, Plural, Masculino
037526	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037527	G1063	CONJ	CONJunción o partícula cunjuntiva
037528	G5207	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
037529	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037530	G444	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037531	G3195	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037532	G3860	V-PPN	Verbo, Presente, Pasivo, iNfinitivo
037533	G1519	PREP	PREPosición
037534	G5495	N-APF	SustaNtivo, Acusativo, Plural, Femenino
037535	G444	N-GPM	SustaNtivo, Genitivo, Plural, Masculino
037536	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
037537	G1161	CONJ	CONJunción o partícula cunjuntiva
037538	G50	V-IAI-3P	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Plural
037539	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
037540	G4487	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
037541	G3778	D-ASN	pronombre Demostrativo, Acusativo, Singular, Neutro
037542	G2532	CONJ	CONJunción o partícula cunjuntiva
037543	G1510	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
037544	G3871	V-RPP-NSN	Verbo, peRfecto, Pasivo, Participio, Nominativo, Singular, Neutro
037545	G575	PREP	PREPosición
037546	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
037547	G2443	CONJ	CONJunción o partícula cunjuntiva
037548	G3361	PRT-N	PaRTícula, Negativo
037549	G143	V-2ADS-3P	Verbo, (2A) Aoristo segundo, Deponente medio, Subjuntivo, (3) tercera, Plural
037550	G846	P-ASN	pronombre Personal, Acusativo, Singular, Neutro
037551	G2532	CONJ	CONJunción o partícula cunjuntiva
037552	G5399	V-INI-3P	Verbo, Imperfecto, depoNente medio o pasivo, Indicativo, (3) tercera, Plural
037553	G2065	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
037554	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037555	G4012	PREP	PREPosición
037556	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
037557	G4487	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
037558	G3778	D-GSN	pronombre Demostrativo, Genitivo, Singular, Neutro
037559	G1525	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037560	G1161	CONJ	CONJunción o partícula cunjuntiva
037561	G1261	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
037562	G1722	PREP	PREPosición
037563	G846	P-DPM	pronombre Personal, Dativo, Plural, Masculino
037564	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
037565	G5101	I-NSM	pronombre Interrogativo, Nominativo, Singular, Masculino
037566	G302	PRT	PaRTícula, partícula disyuntiva
037567	G1510	V-PAO-3S	Verbo, Presente, Activa, Optativo, (3) tercera, Singular
037568	G3173	A-NSM-C	Adjetivo, Nominativo, Singular, Masculino, Comparativo
037569	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
037570	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037571	G1161	CONJ	CONJunción o partícula cunjuntiva
037572	G2424	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037573	G1492	V-RAP-NSM	Verbo, peRfecto, Activa, Participio, Nominativo, Singular, Masculino
037574	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
037575	G1261	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
037576	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
037577	G2588	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
037578	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
037579	G1949	V-2ADP-NSM	Verbo, (2A) Aoristo segundo, Deponente medio, Participio, Nominativo, Singular, Masculino
037580	G3813	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
037581	G2476	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037582	G846	P-ASN	pronombre Personal, Acusativo, Singular, Neutro
037583	G3844	PREP	PREPosición
037584	G1438	F-3DSM	pronombre reFlexivo, (3) tercera, Dativo, Singular, Masculino
037585	G2532	CONJ	CONJunción o partícula cunjuntiva
037586	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037587	G846	P-DPM	pronombre Personal, Dativo, Plural, Masculino
037588	G3739	R-NSM	pronombre Relativo, Nominativo, Singular, Masculino
037589	G1437	CONJ	CONJunción o partícula cunjuntiva
037590	G1209	V-ADS-3S	Verbo, Aoristo, Deponente medio, Subjuntivo, (3) tercera, Singular
037591	G3778	D-ASN	pronombre Demostrativo, Acusativo, Singular, Neutro
037592	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
037593	G3813	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
037594	G1909	PREP	PREPosición
037595	G3588	T-DSN	(T) artículo determinado, Dativo, Singular, Neutro
037596	G3686	N-DSN	SustaNtivo, Dativo, Singular, Neutro
037597	G1473	P-1GS	pronombre Personal, (1) primera, Genitivo, Singular
037598	G1473	P-1AS	pronombre Personal, (1) primera, Acusativo, Singular
037599	G1209	V-PNI-3S	Verbo, Presente, depoNente medio o pasivo, Indicativo, (3) tercera, Singular
037600	G2532	CONJ	CONJunción o partícula cunjuntiva
037601	G3739	R-NSM	pronombre Relativo, Nominativo, Singular, Masculino
037602	G302	PRT	PaRTícula, partícula disyuntiva
037603	G1473	P-1AS	pronombre Personal, (1) primera, Acusativo, Singular
037604	G1209	V-ADS-3S	Verbo, Aoristo, Deponente medio, Subjuntivo, (3) tercera, Singular
037605	G1209	V-PNI-3S	Verbo, Presente, depoNente medio o pasivo, Indicativo, (3) tercera, Singular
037606	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
037607	G649	V-AAP-ASM	Verbo, Aoristo, Activa, Participio, Acusativo, Singular, Masculino
037608	G1473	P-1AS	pronombre Personal, (1) primera, Acusativo, Singular
037609	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037610	G1063	CONJ	CONJunción o partícula cunjuntiva
037611	G3398	A-NSM-C	Adjetivo, Nominativo, Singular, Masculino, Comparativo
037612	G1722	PREP	PREPosición
037613	G3956	A-DPM	Adjetivo, Dativo, Plural, Masculino
037614	G4771	P-2DP	pronombre Personal, (2) segunda, Dativo, Plural
037615	G5225	V-PAP-NSM	Verbo, Presente, Activa, Participio, Nominativo, Singular, Masculino
037616	G3778	D-NSM	pronombre Demostrativo, Nominativo, Singular, Masculino
037617	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037618	G3173	A-NSM	Adjetivo, Nominativo, Singular, Masculino
037619	G611	V-AOP-NSM	Verbo, Aoristo, depOnente pasivo, Participio, Nominativo, Singular, Masculino
037620	G1161	CONJ	CONJunción o partícula cunjuntiva
037621	G2491	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037622	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037623	G1988	N-VSM	SustaNtivo, Vocativo, Singular, Masculino
037624	G1492	V-2AAI-1P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (1) primera, Plural
037625	G5100	X-ASM	(X) pronombre indefinido, Acusativo, Singular, Masculino
037626	G1722	PREP	PREPosición
037627	G3588	T-DSN	(T) artículo determinado, Dativo, Singular, Neutro
037628	G3686	N-DSN	SustaNtivo, Dativo, Singular, Neutro
037629	G4771	P-2GS	pronombre Personal, (2) segunda, Genitivo, Singular
037630	G1544	V-PAP-ASM	Verbo, Presente, Activa, Participio, Acusativo, Singular, Masculino
037631	G1140	N-APN	SustaNtivo, Acusativo, Plural, Neutro
037632	G2532	CONJ	CONJunción o partícula cunjuntiva
037633	G2967	V-IAI-1P	Verbo, Imperfecto, Activa, Indicativo, (1) primera, Plural
037634	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037635	G3754	CONJ	CONJunción o partícula cunjuntiva
037636	G3756	PRT-N	PaRTícula, Negativo
037637	G190	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037638	G3326	PREP	PREPosición
037639	G1473	P-1GP	pronombre Personal, (1) primera, Genitivo, Plural
037640	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037641	G1161	CONJ	CONJunción o partícula cunjuntiva
037642	G4314	PREP	PREPosición
037643	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037644	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037645	G2424	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037646	G3361	PRT-N	PaRTícula, Negativo
037647	G2967	V-PAM-2P	Verbo, Presente, Activa, IMperativo, (2) segunda, Plural
037648	G3739	R-NSM	pronombre Relativo, Nominativo, Singular, Masculino
037649	G1063	CONJ	CONJunción o partícula cunjuntiva
037650	G3756	PRT-N	PaRTícula, Negativo
037651	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037652	G2596	PREP	PREPosición
037653	G4771	P-2GP	pronombre Personal, (2) segunda, Genitivo, Plural
037654	G5228	PREP	PREPosición
037655	G4771	P-2GP	pronombre Personal, (2) segunda, Genitivo, Plural
037656	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037657	G1096	V-2ADI-3S	Verbo, (2A) Aoristo segundo, Deponente medio, Indicativo, (3) tercera, Singular
037658	G1161	CONJ	CONJunción o partícula cunjuntiva
037659	G1722	PREP	PREPosición
037660	G3588	T-DSN	(T) artículo determinado, Dativo, Singular, Neutro
037661	G4845	V-PPN	Verbo, Presente, Pasivo, iNfinitivo
037662	G3588	T-APF	(T) artículo determinado, Acusativo, Plural, Femenino
037663	G2250	N-APF	SustaNtivo, Acusativo, Plural, Femenino
037664	G3588	T-GSF	(T) artículo determinado, Genitivo, Singular, Femenino
037665	G354	N-GSF	SustaNtivo, Genitivo, Singular, Femenino
037666	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
037667	G2532	CONJ	CONJunción o partícula cunjuntiva
037668	G846	P-NSM	pronombre Personal, Nominativo, Singular, Masculino
037669	G3588	T-ASN	(T) artículo determinado, Acusativo, Singular, Neutro
037670	G4383	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
037671	G4741	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
037672	G3588	T-GSN	(T) artículo determinado, Genitivo, Singular, Neutro
037673	G4198	V-PNN	Verbo, Presente, depoNente medio o pasivo, iNfinitivo
037674	G1519	PREP	PREPosición
037675	G2419	N-ASF-L	SustaNtivo, Acusativo, Singular, Femenino, Localización
037676	G2532	CONJ	CONJunción o partícula cunjuntiva
037677	G649	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
037678	G32	N-APM	SustaNtivo, Acusativo, Plural, Masculino
037679	G4253	PREP	PREPosición
037680	G4383	N-GSN	SustaNtivo, Genitivo, Singular, Neutro
037681	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
037682	G2532	CONJ	CONJunción o partícula cunjuntiva
037683	G4198	V-AOP-NPM	Verbo, Aoristo, depOnente pasivo, Participio, Nominativo, Plural, Masculino
037684	G1525	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
037685	G1519	PREP	PREPosición
037686	G2968	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
037687	G4541	N-GPM-LG	SustaNtivo, Genitivo, Plural, Masculino, (LG) Gentilicio de Localización
037688	G5613	CONJ	CONJunción o partícula cunjuntiva
037689	G2090	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
037690	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
037691	G2532	CONJ	CONJunción o partícula cunjuntiva
037692	G3756	PRT-N	PaRTícula, Negativo
037693	G1209	V-ADI-3P	Verbo, Aoristo, Deponente medio, Indicativo, (3) tercera, Plural
037694	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037695	G3754	CONJ	CONJunción o partícula cunjuntiva
037696	G3588	T-NSN	(T) artículo determinado, Nominativo, Singular, Neutro
037697	G4383	N-NSN	SustaNtivo, Nominativo, Singular, Neutro
037698	G846	P-GSM	pronombre Personal, Genitivo, Singular, Masculino
037699	G1510	V-IAI-3S	Verbo, Imperfecto, Activa, Indicativo, (3) tercera, Singular
037700	G4198	V-PNP-NSN	Verbo, Presente, depoNente medio o pasivo, Participio, Nominativo, Singular, Neutro
037701	G1519	PREP	PREPosición
037702	G2419	N-ASF-L	SustaNtivo, Acusativo, Singular, Femenino, Localización
037703	G1492	V-2AAP-NPM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Plural, Masculino
037704	G1161	CONJ	CONJunción o partícula cunjuntiva
037705	G3588	T-NPM	(T) artículo determinado, Nominativo, Plural, Masculino
037706	G3101	N-NPM	SustaNtivo, Nominativo, Plural, Masculino
037707	G2385	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037708	G2532	CONJ	CONJunción o partícula cunjuntiva
037709	G2491	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037710	G2036	V-2AAI-3P	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Plural
037711	G2962	N-VSM	SustaNtivo, Vocativo, Singular, Masculino
037712	G2309	V-PAI-2S	Verbo, Presente, Activa, Indicativo, (2) segunda, Singular
037713	G2036	V-2AAS-1P	Verbo, (2A) Aoristo segundo, Activa, Subjuntivo, (1) primera, Plural
037714	G4442	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
037715	G2597	V-2AAN	Verbo, (2A) Aoristo segundo, Activa, iNfinitivo
037716	G575	PREP	PREPosición
037717	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037718	G3772	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037719	G2532	CONJ	CONJunción o partícula cunjuntiva
037720	G355	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
037721	G846	P-APM	pronombre Personal, Acusativo, Plural, Masculino
037722	G4762	V-2APP-NSM	Verbo, (2A) Aoristo segundo, Pasivo, Participio, Nominativo, Singular, Masculino
037723	G1161	CONJ	CONJunción o partícula cunjuntiva
037724	G2008	V-AAI-3S	Verbo, Aoristo, Activa, Indicativo, (3) tercera, Singular
037725	G846	P-DPM	pronombre Personal, Dativo, Plural, Masculino
037726	G2532	CONJ	CONJunción o partícula cunjuntiva
037727	G4198	V-AOI-3P	Verbo, Aoristo, depOnente pasivo, Indicativo, (3) tercera, Plural
037728	G1519	PREP	PREPosición
037729	G2087	A-ASF	Adjetivo, Acusativo, Singular, Femenino
037730	G2968	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
037731	G2532	CONJ	CONJunción o partícula cunjuntiva
037732	G4198	V-PNP-GPM	Verbo, Presente, depoNente medio o pasivo, Participio, Genitivo, Plural, Masculino
037733	G846	P-GPM	pronombre Personal, Genitivo, Plural, Masculino
037734	G1722	PREP	PREPosición
037735	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
037736	G3598	N-DSF	SustaNtivo, Dativo, Singular, Femenino
037737	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037738	G5100	X-NSM	(X) pronombre indefinido, Nominativo, Singular, Masculino
037739	G4314	PREP	PREPosición
037740	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037741	G190	V-FAI-1S	Verbo, Futuro, Activa, Indicativo, (1) primera, Singular
037742	G4771	P-2DS	pronombre Personal, (2) segunda, Dativo, Singular
037743	G3699	CONJ	CONJunción o partícula cunjuntiva
037744	G1437	PRT	PaRTícula, partícula disyuntiva
037745	G565	V-PNS-2S	Verbo, Presente, depoNente medio o pasivo, Subjuntivo, (2) segunda, Singular
037746	G2532	CONJ	CONJunción o partícula cunjuntiva
037747	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037748	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
037749	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037750	G2424	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037751	G3588	T-NPF	(T) artículo determinado, Nominativo, Plural, Femenino
037752	G258	N-NPF	SustaNtivo, Nominativo, Plural, Femenino
037753	G5454	N-APM	SustaNtivo, Acusativo, Plural, Masculino
037754	G2192	V-PAI-3P	Verbo, Presente, Activa, Indicativo, (3) tercera, Plural
037755	G2532	CONJ	CONJunción o partícula cunjuntiva
037756	G3588	T-NPN	(T) artículo determinado, Nominativo, Plural, Neutro
037757	G4071	A-NPN	Adjetivo, Nominativo, Plural, Neutro
037758	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037759	G3772	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037760	G2682	N-APF	SustaNtivo, Acusativo, Plural, Femenino
037761	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037762	G1161	CONJ	CONJunción o partícula cunjuntiva
037763	G5207	N-NSM	SustaNtivo, Nominativo, Singular, Masculino
037764	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037765	G444	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037766	G3756	PRT-N	PaRTícula, Negativo
037767	G2192	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037768	G4226	ADV-I	ADVerbio, Interrogativo
037769	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
037770	G2776	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
037771	G2827	V-PAS-3S	Verbo, Presente, Activa, Subjuntivo, (3) tercera, Singular
037772	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037773	G1161	CONJ	CONJunción o partícula cunjuntiva
037774	G4314	PREP	PREPosición
037775	G2087	A-ASM	Adjetivo, Acusativo, Singular, Masculino
037776	G190	V-PAM-2S	Verbo, Presente, Activa, IMperativo, (2) segunda, Singular
037777	G1473	P-1DS	pronombre Personal, (1) primera, Dativo, Singular
037778	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037779	G1161	CONJ	CONJunción o partícula cunjuntiva
037780	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037781	G2962	N-VSM	SustaNtivo, Vocativo, Singular, Masculino
037782	G2010	V-AAM-2S	Verbo, Aoristo, Activa, IMperativo, (2) segunda, Singular
037783	G1473	P-1DS	pronombre Personal, (1) primera, Dativo, Singular
037784	G565	V-2AAP-DSM	Verbo, (2A) Aoristo segundo, Activa, Participio, Dativo, Singular, Masculino
037785	G4413	A-ASN	Adjetivo, Acusativo, Singular, Neutro
037786	G2290	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
037787	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
037788	G3962	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
037789	G1473	P-1GS	pronombre Personal, (1) primera, Genitivo, Singular
037790	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037791	G1161	CONJ	CONJunción o partícula cunjuntiva
037792	G846	P-DSM	pronombre Personal, Dativo, Singular, Masculino
037793	G863	V-2AAM-2S	Verbo, (2A) Aoristo segundo, Activa, IMperativo, (2) segunda, Singular
037794	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
037795	G3498	A-APM	Adjetivo, Acusativo, Plural, Masculino
037796	G2290	V-AAN	Verbo, Aoristo, Activa, iNfinitivo
037797	G3588	T-APM	(T) artículo determinado, Acusativo, Plural, Masculino
037798	G1438	F-3GPM	pronombre reFlexivo, (3) tercera, Genitivo, Plural, Masculino
037799	G3498	A-APM	Adjetivo, Acusativo, Plural, Masculino
037800	G4771	P-2NS	pronombre Personal, (2) segunda, Nominativo, Singular
037801	G1161	CONJ	CONJunción o partícula cunjuntiva
037802	G565	V-2AAP-NSM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Singular, Masculino
037803	G1229	V-PAM-2S	Verbo, Presente, Activa, IMperativo, (2) segunda, Singular
037804	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
037805	G932	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
037806	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037807	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037808	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037809	G1161	CONJ	CONJunción o partícula cunjuntiva
037810	G2532	CONJ	CONJunción o partícula cunjuntiva
037811	G2087	A-NSM	Adjetivo, Nominativo, Singular, Masculino
037812	G190	V-FAI-1S	Verbo, Futuro, Activa, Indicativo, (1) primera, Singular
037813	G4771	P-2DS	pronombre Personal, (2) segunda, Dativo, Singular
037814	G2962	N-VSM	SustaNtivo, Vocativo, Singular, Masculino
037815	G4413	A-ASN	Adjetivo, Acusativo, Singular, Neutro
037816	G1161	CONJ	CONJunción o partícula cunjuntiva
037817	G2010	V-AAM-2S	Verbo, Aoristo, Activa, IMperativo, (2) segunda, Singular
037818	G1473	P-1DS	pronombre Personal, (1) primera, Dativo, Singular
037819	G657	V-AMN	Verbo, Aoristo, Media, iNfinitivo
037820	G3588	T-DPM	(T) artículo determinado, Dativo, Plural, Masculino
037821	G1519	PREP	PREPosición
037822	G3588	T-ASM	(T) artículo determinado, Acusativo, Singular, Masculino
037823	G3624	N-ASM	SustaNtivo, Acusativo, Singular, Masculino
037824	G1473	P-1GS	pronombre Personal, (1) primera, Genitivo, Singular
037825	G2036	V-2AAI-3S	Verbo, (2A) Aoristo segundo, Activa, Indicativo, (3) tercera, Singular
037826	G1161	CONJ	CONJunción o partícula cunjuntiva
037827	G4314	PREP	PREPosición
037828	G846	P-ASM	pronombre Personal, Acusativo, Singular, Masculino
037829	G3588	T-NSM	(T) artículo determinado, Nominativo, Singular, Masculino
037830	G2424	N-NSM-P	SustaNtivo, Nominativo, Singular, Masculino, Persona
037831	G3762	A-NSM	Adjetivo, Nominativo, Singular, Masculino
037832	G1911	V-2AAP-NSM	Verbo, (2A) Aoristo segundo, Activa, Participio, Nominativo, Singular, Masculino
037833	G3588	T-ASF	(T) artículo determinado, Acusativo, Singular, Femenino
037834	G5495	N-ASF	SustaNtivo, Acusativo, Singular, Femenino
037835	G1909	PREP	PREPosición
037836	G723	N-ASN	SustaNtivo, Acusativo, Singular, Neutro
037837	G2532	CONJ	CONJunción o partícula cunjuntiva
037838	G991	V-PAP-NSM	Verbo, Presente, Activa, Participio, Nominativo, Singular, Masculino
037839	G1519	PREP	PREPosición
037840	G3588	T-APN	(T) artículo determinado, Acusativo, Plural, Neutro
037841	G3694	ADV	ADVerbio o adverbio y partícula combinados
037842	G2111	A-NSM	Adjetivo, Nominativo, Singular, Masculino
037843	G1510	V-PAI-3S	Verbo, Presente, Activa, Indicativo, (3) tercera, Singular
037844	G3588	T-DSF	(T) artículo determinado, Dativo, Singular, Femenino
037845	G932	N-DSF	SustaNtivo, Dativo, Singular, Femenino
037846	G3588	T-GSM	(T) artículo determinado, Genitivo, Singular, Masculino
037847	G2316	N-GSM	SustaNtivo, Genitivo, Singular, Masculino
037848	G3326	PREP	PREPosición
037849	G1161	CONJ	CONJunción o partícula cunjuntiva
037850	G3778	D-APN	pronombre Demostrativo, Acusativo, Plural, Neutro
